[0, "we break dance not hearts by Short Stack is my ringtone.... i LOVE that !!!.....\n"]
[2073, "@jerseybites there can never be too much ! I'll trade ya... I'm at Harbor Freight with Phil. Such excitement!\n"]
[2074, "@jessebarrera i heart you. you make great music AND you like .\n"]
[2075, "@JJ9828  so sad I'll miss it - that is a fav topic of mine - I'll be at a  game this evening &amp; may not catch up on twitter...\n"]
[2076, "@Jontos it's  time!\n"]
[2077, "\"@joshgracin  no football season\n"]
[2078, "@jupitusphillip Do you know why 5 dropped the ? I'm absolutely gutted\n"]
[2079, "@jutecht btw...loved your  post...this is definitely best time of year...was disappointed red sox opener was rained out...\n"]
[2080, "\"@HrzMatt I haven't been keeping up w/ it this year like I normally do.I love  and football.GO DENVER!  Anyway\n"]
[2081, "@Kalicows805 defintely game to see some !!!!!!\n"]
[2082, "@iamdiddy lakers\n"]
[2083, "\"@KelliKanyon Who needs sex toys\n"]
[2084, "\"@kirbiej we just finished a long day of . I'd call\n"]
[2085, "\"@krisitton Dude! I would totally back you up.  I could be the tough\n"]
[2086, "@jenna_rater 7 overs each! now even t20 is reduced to ! hit or miss!\n"]
[2087, "@Lefreak78 Aww that sounds like fun  I love !\n"]
[2088, "\"@LolliLicker hehehe wanna see a hot pic that involves me\n"]
[2089, "@jordanknight I saw this shirt at my son's  game today. I laughed &amp; had to get a pic. .....for you  http://twitpic.com/6t1ic\n"]
[2090, "\"@Mandi_fay I got tired at Peter's  tourney\n"]
[2091, "@marissabree sweet butwhat time is it at cuz I have a  game at 5:30\n"]
[2092, "\"@MCHammer they dont show live- in germanTV\n"]
[2093, "@katieradka I have to shoot   What are you singing?\n"]
[2094, "\"@kev_mck Went to a  game today w/a bunch of people from work. Had a great time... rained on us\n"]
[2095, "\"@michaeltejada I agree w/you\n"]
[2096, "\"@kiddo47 haha we ended up not going to the  game.. so no funnel cake for us\n"]
[2097, "\"@mikeferrulli completely agree with you on CSUF Titan  team going to College WS!  Oh\n"]
[2098, "\"@mikepera Yep\n"]
[2099, "@kingsthings Good job singing at the  game.\n"]
[2100, "\"@knittingknots I do the same but with ... Can't stand to watch it @ home\n"]
[2101, "@langfordperry Sorry for your luck!! Were loving it here in Detroit  You are talking hockey right...or is it some lame  game??\n"]
[2102, "@leeahkay Haha I just got home my baby is an amazing  player I have an amazing boyfriend\n"]
[2103, "\"@lijames @crackpotjack Being from Pittsburgh\n"]
[2104, "\"@LindsayAraMiars can't believe i missed it   it's all of my favorite things combined in one: politics\n"]
[2105, "\"@NancyLeeGrahn Casey Blake the  player? If that's who ya mean\n"]
[2106, "@lylasalwaysme - I love the  scene in Twilight - and my friend Doug is going to teach me about  this season.\n"]
[2107, "\"@Mattass88 I'm glad!  I can feel my arms hurting already. Not few of the pieces of wood hit it\n"]
[2108, "@NJHockeyMom : they are the worst team in .\n"]
[2109, "\"@Megzakarockstar Awww man what if we sneak on\n"]
[2110, "@meredithliepelt SO sorry to have missed it   Was guilted into not missing my son's  game again for the 3rd time this season.\n"]
[2111, "@officialnjonas Wanna hang after your shows I'm going to this summer? Let's play some night time\n"]
[2112, "@omegafolf You should be watching Iowa in the NCAA  tourney. Oh wait!\n"]
[2113, "@ousooner44 @tdhurst That is surely the truth. We were commenting on the absurd amount of high heels at the game.  Pure  fans\n"]
[2114, "@PDMusic two 7yr olds and a 3yr old to their first  game-- you are BRAVE!\n"]
[2115, "\"@MISSMYA Hi Mya\n"]
[2116, "@MTAIRYUSA   he tripled &amp; pitched the last inning K'd the last batter. Sun is a game &amp; Stars practice. Never too much Mt Airy\n"]
[2117, "\"@redalexred yeah - our version of international is including Canada! Tho the basketball\n"]
[2118, "\"@Redkatblonde take a lead from cincymag and look at jpeckjewelers.com under cufflinks.  Cool  links!  Bad site though\n"]
[2119, "@sai_ dominican??... Lmao no I dont but I can probably still kick your ass!\n"]
[2120, "\"@RyanSeacrest Ooo the Lakers game should be fun even tho I'm more of a  fan myself\n"]
[2121, "@SandySlut hehehehe wanna see a cool pic of me getting fucked with a  bat? it feels awesome  -Kelli Kanyon &lt; google me\n"]
[2122, "@SandySlut Why don't you cum to las vegas and make a bet on a football or  game the basketball games are too hard to figure\n"]
[2123, "@sethsimonds huh? the babe? i hope you're not talking about babe ruth cuz i can't hit a  for shit.\n"]
[2124, "@OhSoFuzzy oh so mad I would of love to watch my cuz  game....sad\n"]
[2125, "@SherryinAL I was up in the air about his return but glad to have him back! So happy  has begun! Now all is right in the world.\n"]
[2126, "\"@shustonphotos Nothing bad\n"]
[2127, "@orlandosports it wasn't working through the second half of my  game today! Glad its back.\n"]
[2128, "@overflowshelves It was a good weekend for Yankee's fans!  But not for  moms - all games&amp;practice rained out this weekend\n"]
[2129, "@SexiSweets LOL wanna see a hot pic of me and my friends using a  bat for analsex on my hubband?  -Kelli Kanyon &lt; google me\n"]
[2130, "@Steffie_84 we meet us in 5 min to play   with vampires ;-)\n"]
[2131, "@phillymac he's gonna be into a LOT of sports growing up!!  but i think  players are cuter..so i have to go with that\n"]
[2132, "@siana_mia It came on 10-15 times while I was watching .\n"]
[2133, "@successfool Congrats! Just a few more after that to complete your  team.\n"]
[2134, "\"@sizemore well\n"]
[2135, "@supermini63 hi. I'm watching the Softball championship.  I wish I was playing .\n"]
[2136, "@sleepyinsomniac Me too. Did you see my earlier tweet about Cook's  cap?\n"]
[2137, "@Pogue &quot;For good luck at my  game?&quot; he asks. We kiss. They lost.  oh the sweet memories of first kisses!\n"]
[2138, "\"@proinst No\n"]
[2139, "@SprinkleUWitLuv Oh did I mention we had a  game this morning. I do this to myself ALL the time.  I need a great big coffee! LOL!\n"]
[2140, "@TheCubs Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #\n"]
[2141, "@SteveGarufi I'm coming!! Hold on! Have to finish watching my Hogs in this intense  game!!\n"]
[2142, "@twitisatwatter My  game was rained out because of rain  Last time i plan ahead for a  game... stupid weather!\n"]
[2143, "\"@TwiTweeterDesi  If you also hear the song by Muse\n"]
[2144, "\"@TX_Rangers Hey\n"]
[2145, "@TerenceJr hop on the Texas  bandwagon\n"]
[2146, "\"@vojha this i did the  package on comcast last year\n"]
[2147, "@therealcabbie DET in 6 back 2 back..but what's w/ the crazy time btwn Laker games tho?? this is a sad time..all that's lft is\n"]
[2148, "@SexiSweets hehehehe wanna see a cool pic of me getting fucked with a  bat? it feels awesome  -Kelli Kanyon &lt; google me\n"]
[2149, "@siana_mia @bytor2112 @CityGirl912 I see your Sox won. I wish my  boys could figure out a win.\n"]
[2150, "@siiiera something new pertains to talkin to a lightskinned pretty boy  player..  hahaha\n"]
[2151, "@sportsfan211 nuggets and redsox both lost  im going to my  game and i am suprised its not called of i hate to wake up at 6:30 ...\n"]
[2152, "@swaga_hava1 lol my boyfriend use to play  n he like it. i watch it but I can get into it.... Not my thing\n"]
[2153, "@zona It's gross right? One minute in Rob's trailer and you reek all day.  But there's a lot of standing around waiting.\n"]
[2154, "1st summer weekand.party.work..movies.work.double header game. Lay down  pretty busy weekand. That's how I roll\n"]
[2155, "\"1st UVa\n"]
[2156, "25th innning! 3-2. We won. Longest game in collegiate  history!! Can't wait until tomorrow.\n"]
[2157, "@thismaycy Whatever. You like -i like Lifetime.\n"]
[2158, "@TigerGoesRoar  Interesting. VA isn't one I'm familiar with in . We obviously both play Ole Miss. I think I'd rather Ole Miss (SEC\n"]
[2159, "\"@tmo119f Thanks\n"]
[2160, "@WeFitFamilies Does a  tournament count?\n"]
[2161, "@whatwereeating Maybe  season will be more fun if we go to some games!\n"]
[2162, "All we have is Cricket in the Uk and  here - yawns all round im afraid  http://ff.im/-3tL4S\n"]
[2163, "@Trumping no!  is the best sport to watch! go Red Sox!\n"]
[2164, "@tweet_muse remind me not to go to another  game when there is construction and only 1 lane to get out\n"]
[2165, "\"#flylady using things I already have\n"]
[2166, "@ziggykai tooooo latee smh u caught feelings like it was a football or .  whats going on todayyy\n"]
[2167, "1st  game of the season cancelled due to lightning.    Too bad no one called to let me know...\n"]
[2168, "@victoriaroseee  hmph. i think there's another  tournament in o-town tonight haha\n"]
[2169, "\"@wdwdisneyland But I wore my holey jeans\n"]
[2170, "\"7-1 in\n"]
[2171, "At my first major league  game. Go Rockies\n"]
[2172, "At my nephew Parker's  game.\n"]
[2173, "@willclarkfan22 I always forget! Lol!! I'm a bad  fan\n"]
[2174, "@wilw hence our Erie SeaWolves AA  team over here in Northwest PA.\n"]
[2175, "@witenike I love lazy hot Sundays too! Nothing better than  and beer\n"]
[2176, "Aaahhhhh - the  day is finally over...off to Taco Bueno\n"]
[2177, "@ work ...  .... good news is ... LSU  is unstoppable\n"]
[2178, "About to see Moon. So sad I cant get a picture of this guy with a sparkly sequined  cap.\n"]
[2179, "At Saul's  game and it is a BEAUTIFUL day. Sitting with Grandpa\n"]
[2180, "\"At the grandmas eating food\n"]
[2181, "At the LSU  regionals! Gonna catch some rays and try to stay cool... Geaux Tigers!!\n"]
[2182, "At the MTSU vs Vandy  game! Go Raiders!\n"]
[2183, "@xokissesfromlo lmfao damnnn haha I only play  basketball soccer and lacrosse\n"]
[2184, "\"awful day at the  field... 1-4\n"]
[2185, "@4wide College  will be over by then.\n"]
[2186, "\"@aaronstewart see\n"]
[2187, "alll rite.y!!!!! going to go watch some of my guy friends play   byyeeee!!!\n"]
[2188, "Bad  day for me. Everyone lost or got rained out.\n"]
[2189, "12 hours of my son's  tournaments today. No twitter backgrounds today  Maybe I can get some good nature photos while out and about\n"]
[2190, "1st  game of the season is rained out.\n"]
[2191, "\"2 years to the day that my late fiance and I were jumped\n"]
[2192, "banquet was so much fuuuun&lt;3 missed mtv awards ): is it going to be on again??! please let me know  &lt;3\n"]
[2193, "game with logan. funnnn\n"]
[2194, "\" was cancelled\n"]
[2195, "Another sunny day! Out laying by the pool!!  Then brother's  game later with the family! Call/text me! &lt;3\n"]
[2196, "A little boy walking down the street just shot me using his  bat\n"]
[2197, "@alicejam  spent the day watchin bball and ... my mom  passed away several years ago from cancer....  glad yours was GREAT !\n"]
[2198, "ASU  team- Just lost to Texas- I think I am going to cry\n"]
[2199, "At  game in dunkirk. Its so cold.  &lt;3ilu*10.12.07*\n"]
[2200, "At  with mary\n"]
[2201, "At home my brothers  tournament was cancelled the fields were flooded!!!     I was looking forward to a  weekend!!!\n"]
[2202, "At my brothers  game bored out of my mind\n"]
[2203, "At my brothers  game it not going so good right now\n"]
[2204, "all these  players taking steroids make me sad\n"]
[2205, "\"back at ya @GeekWearsPrada Despite crazy  weekend\n"]
[2206, "\"Brothers  game\n"]
[2207, "Back from the  game. Trump owns RAW? I REALLY need to watch RAW to find out what happened. I feel so lost.  Had fun tonight\n"]
[2208, "tourney tomorrow =  bed time. good night moon.\n"]
[2209, "\"Can't beileive I have fans at the  park. Wow\n"]
[2210, "\"Another bad game for the Angels  Thank goodness the Anteaters are doing well\n"]
[2211, "Cant wait for my  bats to get here\n"]
[2212, "Another day of  !\n"]
[2213, "ASU vs. UT in the College World Series and Cubs vs. White Sox!!!  It's a great night for ...and I'm studying for a Greek exam.\n"]
[2214, "At a  game. And its raining\n"]
[2215, "At an sf giants game. Were winning! I love coming to  games\n"]
[2216, "Come on the l.a dodgers... can some one keep me informed as i live in England and we don't get  here\n"]
[2217, "At my brothers  game. Its nice outside\n"]
[2218, "Cougars game called due to weather.  No  tonight.\n"]
[2219, "At the  game. Boys are lookin good.  paige is here with me. Whoot! Life's good.\n"]
[2220, "brother's  game. lunch with mommy. missing my amazing cowboy\n"]
[2221, "Bummed out becuase my twin boys championship  game just got cancelled due to wet field. Stinkin stinks.\n"]
[2222, "\"Baby Kaitlyn is so verrrrrrry tired!  And she gets to go to her first  game tomorrow\n"]
[2223, "Back from my nephews  game-their team no longer undefeated....He is completely bummed\n"]
[2224, "\"Daniel was exceedingly tough through shots\n"]
[2225, "@_mommy dont blow up!\n"]
[2226, "@ipgloss i can't watch cause i'm not in seattle.  i was just guessing lol. what did jr do?\n"]
[2227, "game today....\n"]
[2228, "game tonight and my boys are in Red Sox uniforms yay! totally gettin lots of pics\n"]
[2229, "was rained out!\n"]
[2230, "Congratulations Dems on winning tonight's  game! Long time coming! Sadly...first game I missed in 3 years!\n"]
[2231, "does anybody want to throw a  around with me?\n"]
[2232, "\"dalilah got me a francisco rodriguez angels  card for my b'day\n"]
[2233, "Damn i got wrecked in Fantasy  this week\n"]
[2234, "bubby's  gameee\n"]
[2235, "Dude. They ran out of souvenir s. I didn't get one. Sad panda.\n"]
[2236, "Came home for lunch. I can either watch wnba or rain delay of Texas .  thank god for the simpsons.\n"]
[2237, "Easy like Sunday morning. Out on the porch enjoying coffee and family time. Missed church  because we have a  game. Bad excuse.\n"]
[2238, "\"dinner\n"]
[2239, "Disappointed that BU  season ended today. Sad that @equusbeth is sick.\n"]
[2240, "Enjoying my lazy day off.  Watched  all day and went to Cracker Barrel.  Now time for some Ice Road Truckers\n"]
[2241, "dissapointed i'm not @ Bamboozle    but excited for  today.  didnt get much sleep last night.\n"]
[2242, "Even at a  game he is talkin basketball ..... Dedicated I guess\n"]
[2243, "\"cant wait to be at the jv  game in 30 minutes!! started at 3\n"]
[2244, "Dreading my next  game. I'm my team's leadoff hitter and I'm facing awesome pitchers.\n"]
[2245, "\"Class done!  Now: lunch\n"]
[2246, "COFFEE at home is soo much better than COFFEE at camp!  Bring on the delectable bean this a.m. baby!   Then some  w/ lil cheetohs!\n"]
[2247, "\"college\n"]
[2248, "Come on the Dodgers... can some one keep me informed on the Dodgers/Angles as i live in England and we don't get  here\n"]
[2249, "@brettison yes takes you away to a special place &amp; then beats your head in with a  bat!\n"]
[2250, "Drove by the little league fields today. I really miss coaching  in Kyrgyzstan\n"]
[2251, "Fathers Day brought a new name for my boat and matching  caps for all - Fenntastic  pretty cool. Too rainy for boating though\n"]
[2252, "figuring out what twitter is.. to just keep track of my  stuff...but there so many phonies on this crap\n"]
[2253, "@britt_mxgirl Yeah. I bet hes having tons of fun right now. Im mad at him cause he passed on  to do his girlfriend all the time.\n"]
[2254, "Four hour  game. At least the Crew spent much of it making the Cubbies look bad.\n"]
[2255, "DANG! my favorite college  team (RICE) got knocked out of the super regionals! that means no championship... this year\n"]
[2256, "@calebrothe I hear ya on that. Good day trumped by bad  game\n"]
[2257, "@californiaboyz Hear you!  Hand-sewed my 3yo's  blanket...2 months later he won't sleep in his bed because it's not a pirate bed\n"]
[2258, "Fucking rain. Now I can't go to the Phils game.  #\n"]
[2259, "Finally got to enjoy some coffee this morning!  Angerball cause missed my GA Elite team at Al Bishop this past weekend. More ...\n"]
[2260, "Getting ready for our wonderful friends to come over for a cook out and  tonight\n"]
[2261, "Getting Ready to go to the last  game of the season\n"]
[2262, "Finished chapter 11 of Georgia. I'll post it after Justin's  game.\n"]
[2263, "\"@ChantellyJean you need  boys anonymous. BBA. hahaha can't wait for tmr! beer\n"]
[2264, "\"@charcoaldesigns no\n"]
[2265, "\"Going all out American this week. Shooting range\n"]
[2266, "going to a  game! hayss....whatever! school's almost over! so sad! it's our last lunch in middle school tomorrow!\n"]
[2267, "Free drink at starbucks? Of course! Love when that happens... Off to my bros  game. Two of my fav things starbux and\n"]
[2268, "going to  game\n"]
[2269, "done with school! but no more\n"]
[2270, "Going to bed early tonight! (maybe) Wrist hurst so bad from . Scraped it up pretty bad.\n"]
[2271, "Driving to work. Welcome hurricane season 09. (not the  ones... They're done...the mature ones)\n"]
[2272, "eating pizza pops...sunburnt after yesterday's  game...ouch\n"]
[2273, "going to the high school boys  game!\n"]
[2274, "Gators lost in softball tonight.  Guess it will be another year of not watching 's evil stepsister.\n"]
[2275, "gettin ready to take my boy to  practice in this crazy heat!  fun fun\n"]
[2276, "Getting ready for a bunch of  today. It's funny to watch what I call the &quot;7 yr olds SPAZZES&quot; play!\n"]
[2277, "\"@ckawa they are cute shirts\n"]
[2278, "Gives @laaa A Cherry Dr Pepper\n"]
[2279, "go hoos!!!  loving this  team\n"]
[2280, "Got Back From Mah Lil Bros  Game We Won Last Nite Lost 2Day Ugh!! I Was Mad!Home Now Wit A Tummy Ache!!\n"]
[2281, "Excited about tomorrow.  Little league  in the morning followed by team parties w/trophies and my daughter's junior prom.\n"]
[2282, "\"got offered my dream job today that combines\n"]
[2283, "@Cohoons_World i love .  me and my son are all about .  i love playing too!  look forward to ur tweets later then!\n"]
[2284, "@CommunispaceCEO He sat there and lied. I have no respect for him whatsoever. Tired of all the lying in .\n"]
[2285, "Got some sun today at the  games which resulted in a farmer tan! Kinda ruins the sundress I'm supposed to wear tomorrow!\n"]
[2286, "got up way too early this morning... son has a  game and I wanted to make sure i had twitter and coffee time before we go\n"]
[2287, "Gotta love the Top 10 EPSN  meltdowns...we need to find the top 10 corporate meltdowns   http://kl.am/ryz\n"]
[2288, "@Coyotebones Basewall  holecats Ohz Noez! hey fruit IMY....\n"]
[2289, "Going to a  game today.  I'm kind of indifferent about this.\n"]
[2290, "\"Going to a Brewers game today! Yay! We actually tailgate for  games in Milwaukee...it's crazy! Cornhole\n"]
[2291, "going to  game!\n"]
[2292, "going to go see her roommate in the play Talking With later today. Then to the  with a Jack Ingram concert afterwards\n"]
[2293, "Going to my brothers  game..txt me\n"]
[2294, "\"@cubsfan8290 aww  I understand completely\n"]
[2295, "Haha check it out my first  battle wound! I got it on sunday but it really hurts now  I'm such a LOSER!!  http://twitpic.com/6fywj\n"]
[2296, "Hahaha. I'm at a bridal shower in  pants and cleats while everyone else is in dresses.\n"]
[2297, "\"Gospel brunch at the house of blues\n"]
[2298, "Got a Wii 4 my bday. Wii-bles wobble but they don't fall down. Dtr &amp; I kicked major wii boxing booo-taay!! Next up....\n"]
[2299, "\"got back from . Man\n"]
[2300, "got rained out at the  game...\n"]
[2301, "got up at 6 and fed the baby raccoons.. now we're off to Isaac's  game!\n"]
[2302, "has graduated!!!!  must.sleep.now. early bro  games 2m...whattheheck nice first day of summer-waking to an alarm\n"]
[2303, "\"Found out we're leaving to the  game\n"]
[2304, "\"Having good day so far\n"]
[2305, "FREEDOM! Shane's  game. Then running from Crete elementary to my house with stin\n"]
[2306, "he asked me today cause joe would b driving.lol and practically the whole  team is takeing ppl and going.\n"]
[2307, "\"Had an awesome weekend with the guys.  Can't beat\n"]
[2308, "Had fun with the bff @emileeabigail last night! Now a day full of  games  Then possibly the family picnic..ugh!\n"]
[2309, "full day of  today\n"]
[2310, "Full of alfredo watchin  at joshs new apt.\n"]
[2311, "\"heading to the lake for some sun\n"]
[2312, "Hail to the end of basketball season. I'm closer than close to Football season!!! Now to get past this  thing   I can't wait!!!!!!\n"]
[2313, "Get to enjoy a little  with my friends tonight\n"]
[2314, "Hanging @ Mill Creek with the  players...however i think ita gonna rain\n"]
[2315, "Here in Iowa for a memorial  game for a young man named Grant. His last concert was mine  Just found out today I lost a friend.\n"]
[2316, "@DonnieWahlberg Can't wait for my concert next month! Watching Righteous Kill. Great job! Love the  outfit!\n"]
[2317, "Go back to home from  2 games lost...\n"]
[2318, "@Dougie I wish you were still with the Yankees  I couldn't believe when they let you walk.\n"]
[2319, "@Dougie ps. I cannot imagine the pain u guys go thru\n"]
[2320, "hmmm  or WNBA...summer sports suck\n"]
[2321, "Going out tonight to some  game...it gives me a reason to buy Sunflower seeds Yay\n"]
[2322, "going to another  game.  ~QUEERLEADER~\n"]
[2323, "home from a long day of ...out to the yard\n"]
[2324, "\"@DustyBurke So I guess it's not raining out there? Otherwise\n"]
[2325, "homework  then hopefully Gage's  game!\n"]
[2326, "Hope fading for  today like light fades on the horizon at dusk\n"]
[2327, "\"How 'bout what I did? Had FUN playin' w/the children! Swung at s\n"]
[2328, "going to the district  game with some buddies\n"]
[2329, "have to wake up early for .\n"]
[2330, "Gonna get up. take a showwa. get ready. an watch some .\n"]
[2331, "hello everyone! I'm at my buddy kip's house ... gonna go see a  game tomorrow with the boys\n"]
[2332, "hey people...im on the bus going to my  game...98 degrees out here\n"]
[2333, "got a little tanner today.  stepbrothers  game then who knows.\n"]
[2334, "\"got a whole 5 hours of sleep\n"]
[2335, "\"Hmm. I think I'll go to the Royals v. White Sox one. That's the one 3 huge  fans told me to choose\n"]
[2336, "Hmmm I want to find my Tyler this summer...but I have no idea where he'd be  a  game? Haha\n"]
[2337, "\"http://www.break.com/index/cool-spinning--bat-trick.html video site\n"]
[2338, "hockey? we watch   L-S-U\n"]
[2339, "\"Holy fuck I need to pay more attention to my fantasy  team...this is pathetic. I'm sorry\n"]
[2340, "I am determined to get back into  -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game?\n"]
[2341, "\"i am sooo tired\n"]
[2342, "I am going to my little brothers  game tomorrow morning.  I miss .  Pretty excited.\n"]
[2343, "Hanley's grand slam gave me a nice first day in fantasy ...too bad it came against the Nats\n"]
[2344, "I feel like i JUST got hit with a  bat ... Right in the back. Lovely\n"]
[2345, "i feel like i've been hit with a  bat all over my body. ouch.\n"]
[2346, "\"has to add...GO RED SOX!!...Gotta go\n"]
[2347, "I don't think we are having  tonight. Sorry boys\n"]
[2348, "@gminks i spent all weekend watching  and am just now getting to myh homework for class tomorrow\n"]
[2349, "Heading off to the Marlins  game\n"]
[2350, "heading to the field to hit some s....then wildthings game tonight .....missing my girl\n"]
[2351, "\"@HaileyEdwards That's a nice field!!  I LOVE\n"]
[2352, "i got another  tournament today  i feel like laying in bed all day\n"]
[2353, "I have a  game tonight.\n"]
[2354, "\"i have actually started to like . It can get intense\n"]
[2355, "home from  game... left in the middle of the 8th... our team down by 5  ... now... back to Changeling\n"]
[2356, "Home lost the  game by 1 friggin' point!  Now I'm gonna scrap.\n"]
[2357, "\"homeworking alll day long\n"]
[2358, "\"@Herrminator How about something sad\n"]
[2359, "Hope you guys appreciate all this commentary on a  game involving two teams going absolutely nowhere at the speed of light.\n"]
[2360, "I lost my  game 10-8\n"]
[2361, "I am sad that I will not be able to watch more UGA  this year\n"]
[2362, "I am surprised by how much fun I had at the  game!  And I kinda wish I had waited for that hot dog....\n"]
[2363, "I love watching   makes me happy\n"]
[2364, "I really wish i was at  right now.\n"]
[2365, "i don't want to go to my brother's  game\n"]
[2366, "\"I grabbed a  cap\n"]
[2367, "\"I guess I don't tweet enough about\n"]
[2368, "I wanna watch .  i was invited to a party after work though. I am going to pass\n"]
[2369, "I want it to be time for A's and Dodgers  now. Vin Mazzaro will help me feel better.\n"]
[2370, "I wanted to play\n"]
[2371, "I wish this Austin rain would stop... there's a double-header  game v OU(sucks) today!\n"]
[2372, "I want to go to a  game.\n"]
[2373, "\"if you can find any college  scoreboard information on SI.COM you win\n"]
[2374, "@jessizakool well i could arrange a 'chasing with  bat' if you'd like\n"]
[2375, "I'm Bored... If it was thundering I could play .. lol...   I'd just call the Cullens\n"]
[2376, "I just beat my cuz and bro in\n"]
[2377, "I just cut one of the best  guys I know off of the Ceres Coyotes.  it is a sad day in the Coyotes Nation.\n"]
[2378, "im getting ready for another day at school....But yesterday in  i hit a homerun\n"]
[2379, "i love the idea of nuns at a  game  but hates the idea of seaguls here\n"]
[2380, "Internet problems :/ congrats to the ers\n"]
[2381, "I think vampires are playing  somewhere...\n"]
[2382, "is at a  game in downtown Indy for date night.\n"]
[2383, "I'm playing\n"]
[2384, "I'm really sad  I'm helping my little brother pack to go to Alaska for the summer (for )\n"]
[2385, "is bout to go to a  game with some familyy\n"]
[2386, "Is done with volunteering. Now doing the walk. Got about 2 more laps round the  stadium\n"]
[2387, "@kalebnation noo im going to miss the live chat im at a  game!\n"]
[2388, "I'd like to think its just vampires playing ... But seriousley i need some sleep! Kinda hard to do with loud scary thunder\n"]
[2389, "\"i'm watching the best scene in 'twilight'  when they're playing  haha\n"]
[2390, "\"is unsure how this twitter thing works. I am fixing to spend the day studying. Skipped  tournament\n"]
[2391, "is up too early for the time I went to bed.... taking @PlacesrFun to watch the kids softball/ games.\n"]
[2392, "is worn out from a day full of the kids' ... but it was a lot of fun!\n"]
[2393, "im drinking and going to bed now :p have to be up for  tomorrow\n"]
[2394, "It's my birthday and I'm working the  game this guy Dayne\n"]
[2395, "It's to early for me. No  again.\n"]
[2396, "im playyin  withh myy bros friendds\n"]
[2397, "Jacques is @  practice...\n"]
[2398, "is at the  game with his awesome gf kara!\n"]
[2399, "is counting down the hours to  paradise with Ale J\n"]
[2400, "is down with the sickness.  (Might not be at .)\n"]
[2401, "I'm starting work on the  story now.\n"]
[2402, "is ready to go to Jackson's  game!\n"]
[2403, "\"just got bakk from school\n"]
[2404, "\"Just got home from  and it sucked\n"]
[2405, "\"is with Kyle at his  game\n"]
[2406, "is at the ballpark for desi's  game.\n"]
[2407, "Its hot... no  practice  and arm still hurts. Looking forward to elevate tonight.\n"]
[2408, "Just spent most of her night playing all star  2001  on nintendo 64\n"]
[2409, "It's raining again!! Another Tuesday night  game cancelled. My husband is never gonna get to see one of our sons games\n"]
[2410, "@laaa OMG no Fair\n"]
[2411, "is home after a fun day of pool and\n"]
[2412, "is home from the  game....too bad we lost\n"]
[2413, "Jose's  game  http://myloc.me/2eiA\n"]
[2414, "Junior high  game with @assray. Flashback to middle school.\n"]
[2415, "Is so mad at herself. I slept in and just woke up and so im missing the boys  game\n"]
[2416, "@LeeTWatts It reminded me why I like  (and going to the ballpark). Plus I definitely needed some downtime.  How's ur wkend?\n"]
[2417, "Long weekend a lot of  games got rained on twice. Great church!  Momma D not doing so good today.\n"]
[2418, "It feels like someone hit me in the back of the head w/ a  bat  ...praying this migraine pill &amp; sleep will work. *crosses fingers*\n"]
[2419, "Looks like the beginning of  season for us Bostonians\n"]
[2420, "Lost  state championship game\n"]
[2421, "Lost our first  game today.  Not so happy\n"]
[2422, "lost our softball game  also got hurt... size knot on by calf\n"]
[2423, "Loud thud outside - I thought a  hit the wall below the window.   But I wasn't sure.  My skin's still burning\n"]
[2424, "\"Love is the most important thing in the world\n"]
[2425, "Just finished shooting a HS state  game. Went 11 innings. 3 hours. Next game will get started late.\n"]
[2426, "\"LSU whips up on the Razorbacks\n"]
[2427, "\"Just got back from my sons  game -- Channahon 10\n"]
[2428, "Just got back from the  game! The seats were amazing....the gane not so much....unfortunately\n"]
[2429, "Just got back from the movies &amp; my body still aches from\n"]
[2430, "Just got home from  which was suspended\n"]
[2431, "\"Man\n"]
[2432, "just got up and need to clean house befor emom gets home from the  overnighter i wasn't invited to.\n"]
[2433, "it's thundering! let's play\n"]
[2434, "Just looked at the  scores. Yankees win.   Mariners and Dodgers lose.\n"]
[2435, "jesus...it's not a good time for detroit sports vs pittsburgh sports...our  team can't even beat THEIR damn  team\n"]
[2436, "\"just played  with @paosalvador\n"]
[2437, "Just stopped by at my brother's  game. Now boring grocery shopping. Got a new graziano necklace though\n"]
[2438, "Morning  ! Oh and i guess morning to the rest of you too\n"]
[2439, "morning tweeters  its sunny out AGAIN and i love it. gonna go eat and get ready to go watch my cousins'  game   lovelove\n"]
[2440, "Just got back from my brother's  game. I thought the other team's coach was gonna have a stroke on the field. he didn't\n"]
[2441, "Just wants to be sitting in the bleatchers watching kaiden play  right now..\n"]
[2442, "Just watched Fever Pitch. Such a good summer/ season movie. Made me fall in love with @jimmyfallon all over again.\n"]
[2443, "Just got home from Ethan's  game. I hope they win a game soon.\n"]
[2444, "\"My  stats so far this season: 5 plate appearances\n"]
[2445, "my brothers  game was cancelled.  now imma be missin vball. sorry girls!\n"]
[2446, "just woke up. dads taking me to get breakfast.  game later\n"]
[2447, "\"@LoveLauriexox - my son plays pitcher and catcher.  Beautiful weather this past weekend for\n"]
[2448, "@LsRccrd it is pretty exciting  finally time to watch\n"]
[2449, "My life was over when I heard my lil bro made all star  ans division two soccer...darn his athletic abilities\n"]
[2450, "my lil man geta a 1st place little league trophy today so proud of my lil  man  soccer next booyah!\n"]
[2451, "late night  games: im a fan.\n"]
